abakaweishuangfuding 阿巴卡韦双夫定
atikayinshenshangxiansu 阿替卡因肾上腺素
atiluoer 阿替洛尔
atuofatatinggai 阿托伐他汀钙
atuomolan 阿拓莫兰
aweisuanna 阿魏酸钠
aweisuannalvhuana 阿魏酸钠氯化钠
aweisuannaputaotang 阿魏酸钠葡萄糖
aweisuanpaiqin 阿魏酸哌嗪
axiluowei 阿昔洛韦
axiluoweilvhuana 阿昔洛韦氯化钠
axiluoweiputaotang 阿昔洛韦葡萄糖
aximeixin 阿西美辛
aximosi 阿昔莫司
aibang 爱邦
aibaoliao 爱宝疗
aibei 爱倍
aibeinuo 艾贝诺
aiben 艾本
aichang 艾畅
aida 爱大 艾达
aidale 艾达乐
aidaming 艾达明
aidasheng 艾达生
aideerkang 爱德儿康
aidimoni 艾狄莫尼
aidiqing 爱地清
aidisha 艾迪莎
aidite 艾迪特
aidizhusheye 艾迪注射液
aierjia 艾尔嘉
aierkaiyin 爱尔凯因
aifeile 爱菲乐
aifen 爱芬
aifeng 艾丰
aifulong 艾氟龙
aifuning 艾复咛
aifunuangongwan 艾附暖宫丸
aige 艾格
aihefu 艾和富
aiheng 艾恒
aihuoniaotong 爱活尿通
aijiaxin 艾佳欣
aijiekang 爱捷康
aikean 艾可安
aikebokang 艾克博康
aikeer 艾克儿
aikelan 爱可兰
aikelang 艾克朗
aikesong 爱可松
aiketuo 艾可拓
aikewei 艾可谓
ailanduo 艾兰朵
ailang 艾朗
ailewei 爱乐维
aili 爱丽 艾力
ailida 艾力达
ailike 艾利克 艾力可
ailintai 艾林泰
ailuna 艾鲁那
ailuwei 爱路韦
ailue 艾略
ailuosong 艾洛松
ailuosu 爱罗苏
aimailang 爱脉朗
aimaishu 艾麦舒
aimeiding 埃美丁
aimiqi 爱米琦
aimisi 艾米斯
aimiteyilaxing 爱咪特易拉型
aiminkang 爱民康
aimu 艾沐
ainaling 爱纳灵
ainiya 艾妮亚
ainuoji 艾诺吉
ainuoke 艾诺克
ainuoning 艾诺宁
ainuotianjian 爱诺天健
aipeishen 艾培深
aipuliete 爱普列特
aipumisen 艾普米森
aipusheng 艾普升
aiqilin 埃齐林
aiqushi 艾去适
aiquanle 爱全乐
airuxi 爱汝昔
airuidean 艾瑞得安
airuohua 爱若华
aisaiping 爱赛平
aisenao 艾森澳
aisimei 艾思美
aisimo 艾司莫
aisineng 艾斯能
aisu 艾素
aisuomeilazuomei 埃索美拉唑镁
aitai 艾太
aiting 艾亭 艾汀
aitong 爱童
aitongli 爱通立
aiwei 爱维
aiweiduo 艾唯多
aiweizhi 爱维治
aixi 艾悉
aixite 爱西特
aixinke 艾辛可
aixinlier 艾欣利尔
aixinsen 爱欣森
aixing 爱兴
aixu 艾旭
aiyeyouruanjiaonang 艾叶油软胶囊
aiyi 爱益
aiyishu 艾易舒
aizhesi 艾者思
anbao 安宝
anbendieding 氨苯蝶啶
anbiding 安必丁
anbixian 安必仙 安比先
anbixin 安必新
anbianqingmeisubinghuangshu 氨苄青霉素丙磺舒
anbianxilin 氨苄西林
anbianxilinbinghuangshu 氨苄西林丙磺舒
anbianxilinna 氨苄西林钠
anbianxilinnalvzuoxilinna 氨苄西林钠氯唑西林钠
anbianxilinnashubatanna 氨苄西林钠舒巴坦钠
anbonuo 安博诺
anbowei 安博维
anbu 安卜
anbuleke 安步乐克
anchajian 氨茶碱
anchang 安畅 暗娼
anchining 安持凝
anda 安达
andafen 安达芬
andafendiyanye 安达芬滴眼液
andafenrugao 安达芬乳膏
andafenshuan 安达芬拴
andamei 安达美
andaping 安达平
andekewei 安的克威
andelin 安得林
andifen 安迪芬
anditai 安迪泰
andiantai 氨碘肽
andufen 安度芬
anduoming 安多明
anermiantangjiang 安尔眠糖浆
anfenbilin 氨酚比林
anfendaiyin 氨酚待因
anfenkahuangwanan 氨酚咖黄烷胺
anfenkapilin 氨酚咖匹林
anfenlvzong 氨酚氯宗
anfenqiangkaotong 氨酚羟考酮
anfenquma 氨酚曲麻
anfenshuangqingkedaiyin 氨酚双氢可待因
anfenwanannamin 氨酚烷胺那敏
anfenweima 氨酚伪麻
anfenweimameifenanmameimin 氨酚伪麻美芬氨麻美敏
anfenweimanamin 氨酚伪麻那敏
anfulong 安福隆
anfulongyuchongshi 安福隆预充式
anfuteke 安浮特克
angonghuangtitong 安宫黄体酮
angongniuhuangjiaonangtianranniuhuang 安宫牛黄胶囊天然牛黄
angongniuhuangwan 安宫牛黄丸
angongniuhuangwandanwanjinhe 安宫牛黄丸单丸锦盒
angongniuhuangwanjinyi 安宫牛黄丸金衣
angongniuhuangwantianranniuhuang 安宫牛黄丸天然牛黄
angongzhixuekeli 安宫止血颗粒
anhe 安禾
anhela 安贺拉
anjibilinkafeiyin 氨基比林咖啡因
anjidieling 氨基蝶呤
anjierle 安吉儿乐
anjihanpian 安吉含片
anjijisuan 氨基己酸
anjisuanputaotang 氨基酸葡萄糖
anjiabensuan 氨甲苯酸
anjiabensuanputaotang 氨甲苯酸葡萄糖
anjiahuansuan 氨甲环酸
anjiahuansuanlvhuana 氨甲环酸氯化钠
anjiesu 安捷素
anjiexing 安捷星
anka 安卡
ankagan 氨咖甘
ankahuangmin 氨咖黄敏
ankaishu 安凯舒
ankelai 安可来
ankeqing 安可清
ankexin 安可欣
ankunjiaonang 安坤胶囊
ankunkeli 安坤颗粒
ankunzanyuwan 安坤赞育丸
anlai 安来
anlaosuan 氨酪酸
anlebao 安乐宝
anlepian 安乐片
anleshi 安乐士
anlilai 安理莱
anlinong 氨力农
anliqing 安立青
anlishen 安理申
anliya 安利亚
anlinting 氨磷汀
anluohuaxianwan 安络化纤丸
anluotongpian 安络痛片
anluoxin 安洛欣
anluoxue 安洛血 安络血
anmameimin 氨麻美敏
anmeiqin 安美钦
anmiejun 安灭菌
anmoru 按摩乳
annafenni 安拿分尼
annaijin 安乃近
annaowan 安脑丸
anneixi 安内喜
anneizhen 安内真
annituo 安尼妥
anniaotong 安尿通
anping 安平
anpuke 安谱克
anpulangxin 安谱琅欣
anpuluo 安普洛
anpunuoxin 安谱诺欣
anpusuo 安普索
anqi 安奇
anqigenafen 安其格纳芬
anqilun 安其伦
anqubeishi 安曲倍士
anqunan 氨曲南
anquxi 安曲希
ansaiding 安塞定
ansailong 安塞隆
ansaima 安赛玛
ansaitamei 安塞他美
ansheli 安射力
anshenbunaoye 安神补脑液
anshenbuxinjiaonang 安神补心胶囊
anshenbuxinkeli 安神补心颗粒
anshenbuxinpian 安神补心片
anshenbuxinwan 安神补心丸
anshenjiannaoye 安神健脑液
anshenjiaonang 安神胶囊
anshengli 安胜力
anshulika 安舒力卡
ansifei 安斯菲
ansu 安素
ansumei 安素美
ansumeng 安苏萌
ansutai 安素泰
antaisu 氨肽素
antaisuliusuanxin 氨肽素硫酸锌
antangmeixin 氨糖美辛
anteer 安特尔
antexian 安特先
anti 安替
antikejiaonang 安替可胶囊
antishu 安体舒
antongding 安痛定
antongke 安通克
antuoda 安脱达
anwantong 安万彤
anweina 安维那
anweipian 安胃片
anweite 安威特
anweiyangjiaonang 安胃疡胶囊
anxinda 安欣达
anxiuteluo 氨溴特罗
anyi 安易
anzhixing 安治星
anzhongpian 安中片
aoanda 奥安达
aobei 奥贝
aobeishuxin 奥贝舒欣
aobeiting 奥贝汀
aobite 奥必特
aobo 奥铂
aobolin 奥博林
aoboshu 奥勃抒
aocheng 傲承
aodaxing 澳达兴
aodanping 奥氮平
aodejin 奥德金
aodeqing 奥得清
aodi 傲地
aodifukang 奥迪扶康
aodimaier 奥地迈尔
aodixin 奥迪欣
aodiya 奥帝亚
aodingni 奥丁尼
aoerfen 奥尔芬
aofen 奥芬
aofolin 奥佛林
aofu 奥孚
aofuan 澳扶安
aofuxing 奥复星
aogexing 澳格星
aoguang 澳广
aoguangsu 奥广素
aoguangxian 奥广先
aojia 奥佳
aojiuqing 奥九清
aokaxiping 奥卡西平
aoke 奥克
aokeqing 奥克清
aokesidoubao 奥克斯都保
aolaxitan 奥拉西坦
aolaxin 澳拉欣
aolang 澳朗
aolexin 奥乐欣
aolibao 奥力宝
aolibaoke 奥力保克
aoligan 奥力苷
aoliping 澳立平
aolisita 奥利司他
aolitai 奥立泰
aolituo 奥立妥
aolixi 奥立喜
aolixian 奥丽先
aoluo 奥络
aoluona 奥罗那
aoluoyi 奥洛依
aomaibili 奥迈必利
aomailun 奥麦伦
aomaitelin 奥麦特林
aomei 奥美
aomeilazuo 奥美拉唑
aomeilazuomei 奥美拉唑镁
aomeilazuona 奥美拉唑钠
aomeilazuonafuzhuanyongrongji 奥美拉唑钠附专用溶剂
aomeizhen 奥美真
aomixin 奥米新
aomingrun 奥名润
aoneng 澳能
aoning 傲宁 奥宁
aonuo 澳诺
aonuoxian 奥诺先
aonuoya 奥诺娅
aopai 奥哌
aopuli 澳普利
aopuning 澳蒲柠
aopuxin 奥普欣
aosha 奥莎
aoshalaqinna 奥沙拉嗪钠
aoshalibo 奥沙利铂
aoshaliboganluchun 奥沙利铂甘露醇
aoshapuqin 奥沙普秦
aoshaxin 奥沙新
aoshu 澳舒
aosi 奥斯
aotailekeli 澳泰乐颗粒
aotailing 奥泰灵
aotesi 澳特斯
aotesixiaoerzhikelu 澳特斯小儿止咳露
aotixiuan 奥替溴铵
aotianyu 奥天禹
aotianyuan 奥天源
aotingzhikelu 奥亭止咳露
aowanji 奥万基
aowanyuan 奥万源
aoweili 奥维丽
aoweimei 奥维美
aoweixian 奥为仙 奥维先
aoxianda 奥先达
aoxiaozuo 奥硝唑
aoxiaozuolvhuana 奥硝唑氯化钠
aoxiaozuoputaotang 奥硝唑葡萄糖
aoxinkang 奥辛康
aoyimai 奥一麦
aoyixin 奥义欣
aozhageleina 奥扎格雷钠
aozhageleinalvhuana 奥扎格雷钠氯化钠
aozhageleinaputaotang 奥扎格雷钠葡萄糖
aozhengnan 奥正南
babaodanjiaonang 八宝丹胶囊
babaowudanyaomo 八宝五胆药墨
bahenzhiyangruanhuarugao 疤痕止痒软化乳膏
bajikoufuye 巴戟口服液
balixidankang 巴利昔单抗
baling 霸灵
baliudanna 巴柳氮钠
balvfen 巴氯芬
bameiluo 巴美洛
bamier 巴米尔
baqumei 巴曲酶
baquting 巴曲亭
basha 巴沙
batai 巴泰
bateriqiweiwan 巴特日七味丸
bati 巴替
baweichenxiangwan 八味沉香丸
baweiqinpiwan 八味秦皮丸
baweitongjingpian 八味痛经片
baweixiaobopisan 八味小檗皮散
baweizhangyacaiwan 八味獐牙菜丸
baxin 巴欣
bayangpurui 巴阳普瑞
bazhenjiaonang 八珍胶囊
bazhenkeli 八珍颗粒
bazhenlutaikeli 八珍鹿胎颗粒
bazhenpian 八珍片
bazhenwan 八珍丸
bazhenyimujiaonang 八珍益母胶囊
bazhenyimuwan 八珍益母丸
bazhengjiaonang 八正胶囊
bazhengkeli 八正颗粒
bazhengkoufuye 八正口服液
baiasipiling 拜阿司匹灵
baian 佰安
baiao 百奥
baibei 佰备
baichang 百畅
baidaipian 白带片
baidaiwan 白带丸
baidianfengjiaonang 白癜风胶囊
baiding 百定
baiduobang 百多邦
baierluo 百尔洛
baifugan 百扶苷
baifule 拜复乐
baifuning 百服咛
baihegengnianankeli 百合更年安颗粒
baihegujinkoufuye 百合固金口服液
baihong 百宏
baihongyou 百红优
baihuasheshecaozhusheye 白花蛇舌草注射液
baijikeli 白及颗粒
baijineng 百吉能
baijiahei 白加黑
baijiangpian 败酱片
baikang 拜康
baikangling 柏康灵
baikederui 百科德锐
baikedi 百可迪
baikejingkeli 百咳静颗粒
baikejingtangjiang 百咳静糖浆
baikeluoke 百科洛克
baikeluowei 百科洛维
baikeningkeli 百咳宁颗粒
bailelai 佰乐来
bailemianjiaonang 百乐眠胶囊
bailite 百力特
bailiweike 柏力维可
bailingjiaonang 百令胶囊
bailuda 百路达
bailun 百伦
bailvxiao 百虑消
baimeisheduxueningmei 白眉蛇毒血凝酶
baimeizhikekeli 百梅止咳颗粒
baimoshu 百沫舒
baimoting 佰莫亭
bainali 柏纳力
baineiting 白内停
baining 百宁
baipuli 百普力
baipunaishijun 白葡奈氏菌
baipusu 百普素
baiputaoqiujun 白葡萄球菌
baiqike 白奇克
baireng 百礽
bairikepian 百日咳片
baisainuo 百赛诺
baishaozonggan 白芍总苷
baishengjing 百生肼
baishixin 百士欣
baisiming 拜斯明
baitangping 拜唐苹
baiweiha 百为哈
baiweitan 百为坦
baixiaoan 白消安
baixintong 拜新同
baixuanxiatarepian 百癣夏塔热片
baiyanjing 百炎净
baiyexing 百夜星
baiyi 佰奕
baiyiqingganning 百亿清甘宁
baiyoujie 百优解
baizhikeli 白芝颗粒
baiziyangxinpian 柏子养心片
baiziyangxinwan 柏子养心丸
banlandaqingkeli 板兰大青颗粒 板蓝大青颗粒
banlangencha 板蓝根茶
banlangenkeli 板蓝根颗粒
banlangenkeliwutangxing 板蓝根颗粒无糖型
banlangenkoufuye 板蓝根口服液
banlangenpian 板蓝根片
banlangentangjiang 板蓝根糖浆
banmaosu 斑蝥素
bansai 班赛
banshuihecierchun 半水合雌二醇
bansu 板苏
bantuwan 斑秃丸
banxialutangjiang 半夏露糖浆
banxiatangjiang 半夏糖浆
banxiazhiketangjiang 半夏止咳糖浆
bangbei 帮备
bangchuannaixin 邦川乃新
bangda 邦达
bangdeke 邦德克
bangjieqing 邦解清
bangjunchang 帮君畅
bangjunqing 帮君清
banglai 邦莱
banglailixin 邦来立欣
bangna 邦纳
bangning 帮凝
bangningshaji 邦宁沙吉
bangnuo 邦诺
bangruide 邦瑞得
bangtelin 邦特林
bangting 邦亭
bangxin 邦欣
bangzhilinxin 邦止林新
baobaolekeli 宝宝乐颗粒
baobijia 胞必佳
baodanjiansu 保胆健素
baoerankeli 保儿安颗粒
baoerkangsan 宝儿康散
baoerningkeli 保儿宁颗粒
baoerningtangjiang 保儿宁糖浆
baofazhi 保法止
baofukangpaomoji 保妇康泡沫剂
baofukangshuan 保妇康栓
baogongzhixuekeli 葆宫止血颗粒
baohekeli 保和颗粒
baohekoufuye 保和口服液
baohepian 保和片
baohewan 保和丸
baojikoufuye 保济口服液
baojiwan 保济丸
baokeningkeli 宝咳宁颗粒
baolian 葆利安
baolierjiaonang 保利尔胶囊
baolijin 保力津
baoliezhi 保列治
baolindanjianna 胞磷胆碱钠
baolindanjiannalvhuana 胞磷胆碱钠氯化钠
baolindanjiannaputaotang 胞磷胆碱钠葡萄糖
baolingtuolier 宝龄托利儿
baoquan 保泉
baoquanyangdianfen 包醛氧淀粉
baoshenkang 保肾康
baotailingpian 保胎灵片
baotaiwuyoupian 保胎无忧片
baoxinning 保欣宁
baoxinningjiaonang 保心宁胶囊
baoyisu 宝益苏
baoying 保英
baoyingdan 保婴丹
baoyingsan 保婴散
beibeikang 贝贝康
beibingzhi 棓丙酯
beibingzhilvhuana 棓丙酯氯化钠
beibingzhiputaotang 棓丙酯葡萄糖
beicong 倍丛
beidining 倍迪宁
beidougenjiaonang 北豆根胶囊
beidougenpian 北豆根片
beien 倍恩
beierfen 贝尔芬
beierning 贝儿宁
beierping 贝尔平
beifeida 贝飞达
beifen 贝分
beifuji 贝复济
beifushu 贝复舒
beifuxin 贝复新
beiganning 贝感宁
beiganting 贝感亭
beigesi 贝格斯
beijia 贝加
beijiening 倍洁宁
beike 贝可
beikeneng 贝科能
beikeshu 贝克舒
beilai 贝莱
beilande 贝兰德
beilesi 贝乐司
beilexin 倍乐信 蓓乐新
beilide 贝立德
beilisi 贝力斯
beilin 贝林
beiling 贝灵
beilong 蓓隆 贝隆
beiluo 倍珞
beiluote 贝洛特
beimeili 倍美力
beiminweima 贝敏伪麻
beineng 倍能
beinuoding 贝诺定
beinuoke 贝诺克
beinuoxi 倍诺喜
beinuozhi 贝诺酯
beiping 倍平
beiqianliesuna 贝前列素钠
beiqingxing 倍清星
beiran 倍然
beiruining 贝瑞宁
beishu 备疏
beishulin 倍舒林
beishutong 倍舒通
beishun 倍顺
beisi 贝思
beisiteke 倍司特克
beisong 倍松
beitagen 贝他根
beitahuluobosu 倍他胡萝卜素
beitaleke 倍他乐克
beitamisong 倍他米松
beitamisonglinsuanna 倍他米松磷酸钠
beitamisongxinmeisu 倍他米松新霉素
beitashu 倍他舒
beitangning 贝唐宁
beiteling 贝特令
beiteshu 贝特舒
beixidi 贝西迪
beixin 倍欣
beixing 倍兴
beiyou 贝友
benbinganzhi 苯丙氨酯
bendingsuandanjie 苯丁酸氮芥
benhuangsuanaqukuan 苯磺酸阿曲库铵
benhuangsuananlvdiping 苯磺酸氨氯地平
benhuangsuanzuoxuananlvdiping 苯磺酸左旋氨氯地平
benjiachun 苯甲醇
bentuoyingna 苯妥英钠
benxiluan 苯西卤铵
benxianjiaxiaozuo 苯酰甲硝唑
benxiumalong 苯溴马隆
benyue 本悦
benzhabeite 苯扎贝特
benzuoxilinna 苯唑西林钠
biao 必澳
bibaikejiaonang 比拜克胶囊
bibeidier 吡贝地尔
bicun 必存
bidouyankoufuye 鼻窦炎口服液
bifu 必伏
bijiasi 比佳斯
bijie 碧洁
bikaluan 比卡鲁胺
bikangpian 鼻康片
biketong 必可酮
bikuitong 吡喹酮
bilaxitan 吡拉西坦
bilaxitanlvhuana 吡拉西坦氯化钠
bilaxitanputaotang 吡拉西坦葡萄糖
bilan 必兰
bili 比立
bilitong 必理通
biliuwengxin 吡硫翁锌
biluosi 必洛斯
biluoxikang 吡罗昔康
bimayou 蓖麻油
bimeidoukou 铋镁豆蔻
bimisitejia 吡嘧司特钾
binawei 必纳维
bineng 必能
bining 碧宁
binuo 必诺 毕诺
binuokexin 吡诺克辛
binuokexinna 吡诺克辛钠
bipaisuan 吡哌酸
biqi 必奇
biqijiaonang 痹祺胶囊
biqinxianan 吡嗪酰胺
biruite 必瑞特
bisaining 彼赛宁
bishakeding 比沙可啶
bishi 比适
bishushipian 鼻舒适片
bisiling 毕思灵
bitan 必坦
biteli 比特力
bitongdibiji 鼻通滴鼻剂
bitongding 痹痛酊
bitongningdiji 鼻通宁滴剂
bitongwan 鼻通丸
bixi 必喜
bixiansu 必仙素
bixiefenqingwan 萆薢分清丸
bixinpian 痹欣片
biyafen 比亚芬
biyandiji 鼻炎滴剂
biyankangpian 鼻炎康片
biyanlingpian 鼻咽灵片 鼻炎灵片
biyanlingwan 鼻炎灵丸
biyanningkeli 鼻炎宁颗粒
biyanpian 鼻炎片
biyanqingdukeli 鼻咽清毒颗粒
biyantangjiang 鼻炎糖浆
biyantong 毕研通
biyousu 彼优素
biyuanjiaonang 鼻渊胶囊
biyuanshujiaonang 鼻渊舒胶囊
biyuanshukoufuye 鼻渊舒口服液
biyuantongqiaokeli 鼻渊通窍颗粒
biantongjiaonang 便通胶囊
bianxingqingmeisu 苄星青霉素
biaoshiganmaokeli 表实感冒颗粒
biaozhuntaojinniangyou 标准桃金娘油
biejiajianwan 鳖甲煎丸
biejiaxiaozhijiaonang 鳖甲消痔胶囊
biepiaochun 别嘌醇
binxin 滨欣
binganruilin 丙氨瑞林
binganxianguanxianan 丙氨酰谷氨酰胺
bingbofen 丙泊酚
bingguan 丙谷胺
binghuangfuleruangao 冰黄肤乐软膏
bingkeshu 丙克舒
binglangsixiaopian 槟榔四消片
binglangsixiaowan 槟榔四消丸
bingliuyangmiding 丙硫氧嘧啶
bingliuyiyanan 丙硫异烟胺
bingpengsan 冰硼散
bingsaiyou 丙赛优
bingsuanbeilvmisong 丙酸倍氯米松
bingsuanfutikasong 丙酸氟替卡松
bingsuangaotong 丙酸睾酮
bingsuanlvbeitasuo 丙酸氯倍他索
bingwusuanmei 丙戊酸镁
bingwusuanna 丙戊酸钠
bingwuxianan 丙戊酰胺
bingyanganfen 丙氧氨酚
bingzhenqingmudiyanye 冰珍清目滴眼液
bingzhenquyidiyanye 冰珍去翳滴眼液
bingzhishangtongqiwuji 冰栀伤痛气雾剂
bobei 波贝
bode 博德
boditong 博迪同
boerding 伯尔定
boerlishu 博尔立舒
boerluoxue 博尔络血
boerningjiaonang 博尔宁胶囊
boersaixin 博尔赛欣
bofeite 波菲特
boheshexiangcaofen 薄荷麝香草酚
boji 伯基
bojian 博健
bojing 博静
bokalai 博卡莱
bokang 博抗
bokebao 博可保
bokena 伯克纳
bolaining 博来宁
bolaitong 伯来通
bole 博乐
bolexin 博乐欣
boligao 博力高
bolikangni 博利康尼
bolisuanmei 玻璃酸酶
bolisuanna 玻璃酸钠
bolite 波利特
boliwei 波立维
boluodanbaimei 菠萝蛋白酶
boluoke 博洛克
bomanxin 博曼欣
boming 勃名
bona 搏拿
bonatong 博那痛
boning 博宁
boping 博平
bopu 博普
bopuqing 博璞青
boqing 博清
borui 泊瑞
boruite 博瑞特
boshiduokang 博士多康
boshiduoning 博士多宁
boshiduota 博士多他
boshuai 博帅
boshuang 博爽
bosiqing 博思清
bosu 博苏
botan 博坦
boweihe 博维赫
bowoxin 搏沃欣
boxiao 博效
boxin 博欣
boyiding 波依定
boyingkang 博盈康
boyundingdiyanye 拨云锭滴眼液
boyuntuiyiwan 拨云退翳丸
bozhantong 博占同
bozheng 博正
bozhipian 薄芝片
bozhitangtai 薄芝糖肽
budaxiu 补达秀
budinaide 布地奈德
budinaidefumoteluo 布地奈德福莫特罗
bufeihuoxuejiaonang 补肺活血胶囊
bufumai 步复迈
buguzhizhusheye 补骨脂注射液
bujiale 补佳乐
bujinpian 补金片
bulala 不拉拉
bulashijiaomujun 布拉氏酵母菌
buleidining 布累迪宁
bulixian 步利仙
bulinzuoan 布林佐胺
buluofen 布洛芬
buluoweima 布洛伪麻
bumaixin 步迈新
bumeitani 布美他尼
bunaoanshenpian 补脑安神片
bupixiaojikoufuye 补脾消积口服液
bupiyichangwan 补脾益肠丸
buruide 布瑞得
buruining 布瑞宁
buruiping 布瑞平
buruixi 布瑞喜
bushenanshenkoufuye 补肾安神口服液
bushenbanlongpian 补肾斑龙片
bushenjiangujiaonang 补肾健骨胶囊
bushenqiangshenjiaonang 补肾强身胶囊
bushenqiangshenpian 补肾强身片
bushenyinaojiaonang 补肾益脑胶囊
bushenyinaopian 补肾益脑片
bushenyinaowan 补肾益脑丸
bute 布特
buwen 步文
buxinqikoufuye 补心气口服液
buxuetiaojingpian 补血调经片
buxueyimukeli 补血益母颗粒
buyiqiangxinpian 补益强心片
buzhongyiqiheji 补中益气合剂
buzhongyiqikeli 补中益气颗粒
buzhongyiqiwan 补中益气丸
caile 采乐
canbainingshenkoufuye 参百宁神口服液
canboshuyinxiye 参伯舒阴洗液
canchaikeli 参柴颗粒
canchanxiaojiejiaonang 参蟾消解胶囊
candansanjiejiaonang 参丹散结胶囊
canfuzhusheye 参附注射液
canguijiaonang 参桂胶囊
canguiyangxuepian 参归养血片
cankunyangxuekoufuye 参坤养血口服液
canlianjiaonang 参莲胶囊
canqinaokangjiaonang 参七脑康胶囊
canqisanjiewan 参七散结丸
cansanqishangyaopian 参三七伤药片
canshaopian 参芍片
canshehuazhichuanggao 参蛇花痔疮膏
canshuerkangtangjiang 参术儿康糖浆
canshuzhidaitangjiang 参术止带糖浆
cansongyangxinjiaonang 参松养心胶囊
cansujiaonang 参苏胶囊
cansupian 参苏片
canyijiaonang 参一胶囊
canzhijiaonang 参志胶囊
cangerzibiyanjiaonang 苍耳子鼻炎胶囊
canglingzhixiekoufuye 苍苓止泻口服液
cangyinchenjiaonang 藏茵陈胶囊
cangyinchenpian 藏茵陈片
caobo 草铂
caomuxiliujinyepian 草木犀流浸液片
caowujiasu 草乌甲素
caoxianyiganjiaonang 草仙乙肝胶囊
cenlianjiaonang 岑连胶囊
cengyongmingzhongxiaojing 曾用名肿消净
chabenhaiming 茶苯海明
chajian 茶碱
chajianmahuangjian 茶碱麻黄碱
chajianshadinganchun 茶碱沙丁胺醇
chaxinnamin 茶新那敏
chaihukoufuye 柴胡口服液
chaihuzhusheye 柴胡注射液
chaihuangkeli 柴黄颗粒
chaihuangpian 柴黄片
chaiyinkoufuye 柴银口服液
chanfuanheji 产妇安合剂
chanfuankeli 产妇安颗粒
chanfuanwan 产妇安丸
chanfukangkeli 产复康颗粒
chanhoubuwan 产后补丸
chanhouzhuyujiaonang 产后逐瘀胶囊
chanhouzhuyupian 产后逐瘀片
chanlingwan 产灵丸
chanshejiuxinwan 蟾麝救心丸
chansuzhusheye 蟾酥注射液
changbang 畅邦
changchunan 长春胺
changchunxiting 长春西汀
changchunxitinglvhuana 长春西汀氯化钠
changchunxitingputaotang 长春西汀葡萄糖
changduotang 肠多糖
changfuerling 长富尔灵
changfuweina 长富维纳
changfuyitai 长富宜泰
changfuyoushu 长富优舒
changguichongzurenyidaosu 常规重组人胰岛素
changhenglin 常衡林
changjiujianan 长久健安
changkangjiaonang 肠康胶囊
changke 常克
changlekang 常乐康
changlonglei 长龙雷
changmei 畅美
changnuo 畅诺
changnuobang 畅诺邦
changqingganzhi 长清甘脂
changsheng 常胜 长生
changshuzhixiejiaonang 肠舒止泻胶囊
changsong 长松
changtai 畅泰
changtaiheji 肠泰合剂
changtaining 常态宁
changtianxinping 长天欣平
changweiningpian 肠胃宁片
changweishujiaonang 肠胃舒胶囊
changweixi 畅维禧
changxin 常欣
changxiulin 长秀霖
changyuping 长予平
changyuanganping 长源甘平
changyuanxuean 长源雪安
changze 畅泽
chaojibaobei 超级宝贝
chaotai 超肽
chaoyangwan 朝阳丸
cheqianfanxie 车前番泻
chengongzaixin 臣功再欣
chenjige 辰吉格
chenjing 辰景
chenke 晨克
chenlan 辰兰
chenli 辰利 辰立
chenlongluoxin 辰龙罗欣
chenwang 辰旺
